frame_num	lost_fov	lost_uni	sponza_fov	sponza_uni	san_fov	san_uni
1	37.4869	5.14735	26.5196	1.65222	23.6303	1.36497
2	38.2741	5.29269	26.9099	1.71309	24.7567	1.39427
3	36.3147	5.30952	30.6797	1.69734	24.9486	1.39569
4	35.9862	5.70688	30.7231	1.71927	27.0141	1.40978
5	36.6623	6.6146	26.8098	3.11792	31.8453	1.40215
6	39.8763	5.68522	26.969	2.21986	24.8012	1.4045
7	40.6455	5.69994	28.4654	1.7174	24.6099	1.40589
8	41.0455	6.11746	29.3715	1.69935	25.6519	1.40011
9	43.1742	6.81482	29.3382	1.72157	31.3318	1.40153
10	42.5852	7.26025	29.4974	1.71852	28.0534	1.40598
11	41.4324	7.319	30.1387	1.78152	26.1467	1.39934
12	43.8475	6.52577	29.67	1.73634	26.0334	1.40087
13	44.6909	4.09311	29.4845	1.79517	25.8344	1.38673
14	43.8814	2.47664	29.1338	2.20472	26.1289	1.37653
15	46.5771	2.47384	29.3695	2.25698	25.6832	1.38055
16	43.8044	2.48596	29.7319	2.25257	25.7341	1.37965
17	42.5923	2.48448	29.5811	1.96929	26.1406	1.37618
18	43.2	3.85726	29.6427	1.9664	26.196	1.37989
19	44.3978	8.53654	29.5596	1.95968	25.7129	1.38332
20	44.1665	5.2043	29.5638	1.95851	26.0398	1.37628
21	41.9174	3.22462	29.5051	1.75601	26.0171	1.37853
22	46.7297	5.09405	29.9839	1.74365	26.0419	1.38044
23	40.9521	5.00583	30.8396	1.74349	26.0142	1.37871
24	39.0389	4.98966	31.3859	1.75714	25.9521	1.38077
25	37.0833	5.05372	29.5317	1.81203	25.7897	1.3849
26	37.8772	3.18395	29.3805	1.79603	26.0335	1.38493
27	37.6067	3.82282	30.8151	1.7966	25.9287	1.38353
28	37.2515	3.12029	30.5618	1.8014	29.5332	1.38459
29	36.7022	2.57838	28.9482	1.80572	29.6064	1.36875
30	36.77	2.57123	28.6121	1.79135	26.9577	1.37763
31	36.7659	4.98975	27.8831	1.78046	33.1249	1.38132
32	38.6763	4.9968	30.4754	1.75905	27.1702	1.38252
33	41.4403	5.30766	37.0141	1.75956	32.4723	1.37786
34	40.5853	5.31975	29.3182	1.73311	26.873	1.39089
35	48.4492	5.26848	30.0242	1.75245	31.9803	1.38636
36	47.1315	5.13287	29.7119	1.74558	27.3472	1.36825
37	45.7358	3.41259	35.5222	1.76657	33.3442	1.38576
38	42.5301	2.62848	33.7882	1.76717	26.2869	1.37774
39	42.4624	2.67318	32.0237	1.7534	32.406	1.37854
40	42.5861	2.58214	32.7252	1.75871	28.3879	1.30639
41	43.6998	3.38978	35.3048	1.75692	30.8755	1.30547
42	43.9245	5.0431	32.03	1.75845	28.9712	1.29954
43	44.619	2.60221	29.7899	1.73039	26.3428	1.29987
44	44.4762	2.57422	30.9369	1.75937	25.9377	1.28317
45	41.9108	2.57779	32.1187	1.76089	26.245	1.26892
46	42.5543	5.14876	31.9994	1.75883	26.1826	1.28
47	41.45	5.08975	31.8931	1.81598	28.6035	1.28021
48	40.5277	3.35099	31.3075	1.81116	35.3046	1.2796
49	41.4609	2.70463	31.189	1.80929	17.8055	1.33684
50	43.8427	5.13045	31.6795	1.80944	25.4091	1.33749
51	43.8348	7.47522	29.7869	1.80742	25.9213	1.33619
52	44.8113	8.34677	29.5869	2.96965	28.5213	1.33565
53	41.0828	6.45895	29.9097	2.25422	33.8339	1.33745
54	38.8461	6.62155	30.1915	1.80843	26.4366	1.32418
55	39.337	6.79705	29.8448	1.81518	25.3522	1.33687
56	42.9438	6.09932	29.9983	2.85615	33.2282	1.23737
57	38.089	5.94733	29.9548	2.86046	24.8392	1.23668
58	39.1668	3.92133	28.5831	2.89617	25.8829	1.23672
59	35.6935	3.95635	34.5598	2.87597	19.3014	1.23699
60	39.6893	3.91658	30.655	2.72741	25.9434	1.33929
61	38.9914	4.69708	31.1807	2.81389	25.5366	1.33745
62	42.9556	4.91473	30.9379	2.86453	25.4613	1.33071
63	45.596	4.90238	31.1334	2.76786	27.9029	1.33927
64	45.2685	7.65544	31.6463	2.11145	26.5221	1.23528
65	46.662	7.05428	31.1401	1.69078	26.2884	1.24031
66	42.8711	6.3086	31.5594	1.68618	30.6794	1.23506
67	43.5726	5.21148	30.2408	1.69074	32.3871	1.34004
68	42.4643	6.51423	30.9966	1.69062	41.4193	1.33424
69	43.2529	6.65002	31.548	1.69164	45.2736	1.34137
70	42.6461	6.43038	31.4829	1.68458	45.3329	1.33303
71	41.04	6.38185	31.2446	1.68681	44.5905	1.24275
72	41.7602	6.4155	30.6774	1.68555	37.2698	1.22334
73	42.1909	5.71487	30.9806	1.68546	26.7374	1.23687
74	42.4973	5.0169	30.5577	1.68085	26.5319	1.21929
75	41.7725	4.14967	30.4479	1.67163	26.0828	1.21704
76	41.7261	4.20434	30.275	1.69014	25.3318	1.21592
77	42.808	4.81157	30.2168	1.68299	24.8075	1.20163
78	42.9086	5.00675	30.2703	1.68489	25.0491	1.18344
79	40.6553	4.78746	30.0508	1.68926	26.2818	1.19766
80	40.053	4.80968	30.0832	1.67199	26.676	1.19809
81	39.3959	4.77268	29.8464	2.36732	25.8077	1.19545
82	38.7821	4.71154	30.1183	2.01297	26.1403	1.19377
83	40.2168	4.60009	30.0157	1.76984	25.8698	1.19291
84	39.713	5.07928	34.2365	1.99758	25.6541	1.19003
85	40.2708	5.69737	30.4157	1.98715	48.269	1.19048
86	38.73	5.4179	30.1271	1.98073	25.8139	1.19023
87	38.8713	3.84099	29.8654	1.98254	25.1218	1.19233
88	38.6064	2.47777	30.1115	1.98313	25.9478	1.1952
89	38.2913	2.46998	29.8849	1.99395	26.2224	1.19657
90	38.1471	2.47092	30.4076	1.99228	25.4304	1.19699
91	38.5807	2.48508	33.5137	1.69956	41.3289	1.19865
92	37.2785	2.45255	30.1269	1.68825	52.1868	1.21713
93	37.7972	2.45584	30.4559	1.68145	26.1843	1.21917
94	37.3105	2.47239	30.7884	1.68632	58.2391	1.21624
95	37.6039	2.44789	30.5274	1.67828	26.2029	1.24276
96	37.7942	2.46153	30.2901	1.69824	26.5273	1.23867
97	37.6217	2.44006	35.2813	1.69383	26.7064	1.23086
98	37.3807	2.46878	30.0408	1.90232	26.0726	1.3428
99	37.4268	2.47175	29.9182	1.89314	25.3709	1.34462
100	36.9617	2.49407	34.146	1.89838	25.5236	1.32937
101	39.7983	2.45071	30.027	1.90042	25.5224	1.23618
102	37.5528	2.50376	29.9926	1.88966	26.0601	1.22941
103	38.7156	3.39079	30.0637	1.8995	26.3996	1.23316
104	39.0858	5.35104	31.9341	1.84733	27.1863	1.23985
105	38.7592	2.50038	29.8588	1.83904	28.2386	1.22236
106	38.3628	2.47899	34.5186	1.8377	28.184	1.21966
107	37.994	2.49817	30.141	1.77883	29.2158	1.2221
108	37.8053	2.46871	30.0999	1.77742	30.786	1.19337
109	41.7104	2.48829	30.2024	1.76808	28.0739	1.19893
110	49.5629	2.47412	30.7649	1.76665	25.7572	1.19382
111	39.8848	2.48997	30.679	1.7608	29.8708	1.19542
112	40.5085	2.48978	30.3371	1.74991	31.2303	1.18826
113	39.8406	2.45501	33.8865	1.74706	28.7823	1.19199
114	43.201	2.461	29.9797	1.74809	31.4506	1.19309
115	43.3361	2.47983	29.9457	1.73828	28.6387	1.19546
116	43.7407	2.46697	29.6383	1.86071	30.6502	1.1905
117	38.4981	3.81901	29.4998	1.86211	27.7349	1.22555
